reporter_name,reporter_iso,year,gdp_current_usd
Benin,BEN,2019,14391686313.4641
Benin,BEN,2018,14262408089.9261
Benin,BEN,2017,12701655836.9467
Benin,BEN,2016,11821065853.3838
Benin,BEN,2015,11388160996.7738
Bermuda,BMU,2024,9194499000.0
Bermuda,BMU,2023,8602360000.0
Bermuda,BMU,2022,7767884000.0
Bermuda,BMU,2021,7290037000.0
Bermuda,BMU,2020,6887364000.0
Bermuda,BMU,2019,7423465000.0
Bermuda,BMU,2018,7225977000.0
Bermuda,BMU,2017,7142316000.0
Bermuda,BMU,2016,6899911000.0
Bermuda,BMU,2015,6654541000.0
Bhutan,BTN,2024,3346603858.7495
Bhutan,BTN,2023,3012896789.79753
Bhutan,BTN,2022,2898227743.75576
Bhutan,BTN,2021,2768802960.11204
Bhutan,BTN,2020,2457604333.90927
Bhutan,BTN,2019,2735683570.46155
Bhutan,BTN,2018,2583335721.85904
Bhutan,BTN,2017,2591358009.20276
Bhutan,BTN,2016,2357504760.78592
Bhutan,BTN,2015,2187815803.36833
Bolivia,BOL,2024,54881327452.9667
Bolivia,BOL,2023,52340206946.4544
Bolivia,BOL,2022,50959081953.6903
Bolivia,BOL,2021,47877892402.3155
Bolivia,BOL,2020,42313784081.042
Bolivia,BOL,2019,49056643589.0014
Bolivia,BOL,2018,48414038842.2576
Bolivia,BOL,2017,45927439594.7902
Bolivia,BOL,2016,33941126193.9219
Bolivia,BOL,2015,33000198248.9146
Bosnia and Herzegovina,BIH,2024,29737363103.0492
Bosnia and Herzegovina,BIH,2023,27592361498.4057
Bosnia and Herzegovina,BIH,2022,24534663636.1778
Bosnia and Herzegovina,BIH,2021,23672712121.2671
Bosnia and Herzegovina,BIH,2020,20226038369.9191
Bosnia and Herzegovina,BIH,2019,20482608984.3316
Bosnia and Herzegovina,BIH,2018,20484058033.1144
Bosnia and Herzegovina,BIH,2017,18326373135.6099
Bosnia and Herzegovina,BIH,2016,17116926553.8513
Bosnia and Herzegovina,BIH,2015,16404348361.0926
Botswana,BWA,2024,19286251067.5078
Botswana,BWA,2023,19413614554.6944
Botswana,BWA,2022,20321150599.1523
Botswana,BWA,2021,18750182236.2211
Botswana,BWA,2020,14960251607.8135
Botswana,BWA,2019,16725908148.5481
Botswana,BWA,2018,17031943186.1353
Botswana,BWA,2017,16105155856.7708
Botswana,BWA,2016,15082637184.0496
Botswana,BWA,2015,13530748844.505
Brazil,BRA,2024,2185821610689.31
Brazil,BRA,2023,2191131765684.63
Brazil,BRA,2022,1951923942083.32
Brazil,BRA,2021,1670647398904.9
Brazil,BRA,2020,1476107231310.49
Brazil,BRA,2019,1873288205059.69
Brazil,BRA,2018,1916933898010.99
Brazil,BRA,2017,2063514977365.65
Brazil,BRA,2016,1795693482853.01
Brazil,BRA,2015,1802212206814.5
British Virgin Islands,VGB,2024,
British Virgin Islands,VGB,2023,
British Virgin Islands,VGB,2022,
British Virgin Islands,VGB,2021,
British Virgin Islands,VGB,2020,
British Virgin Islands,VGB,2019,
British Virgin Islands,VGB,2018,
British Virgin Islands,VGB,2017,
British Virgin Islands,VGB,2016,
British Virgin Islands,VGB,2015,
Brunei Darussalam,BRN,2024,15340808592.48
Brunei Darussalam,BRN,2023,15095084656.1634
Brunei Darussalam,BRN,2022,16681536466.7183
Brunei Darussalam,BRN,2021,14006496617.4458
Brunei Darussalam,BRN,2020,12005799653.9835
Brunei Darussalam,BRN,2019,13469235364.7032
Brunei Darussalam,BRN,2018,13566908391.0895
Brunei Darussalam,BRN,2017,12128168045.1245
Brunei Darussalam,BRN,2016,11400266044.6651
Brunei Darussalam,BRN,2015,12930296870.1247
Bulgaria,BGR,2024,113349149166.793
Bulgaria,BGR,2023,102204457334.822
Bulgaria,BGR,2022,90510784777.6397
Bulgaria,BGR,2021,84378926047.3002
Bulgaria,BGR,2020,70490478088.1395
Bulgaria,BGR,2019,68511235459.4907
Bulgaria,BGR,2018,66100606676.6544
Bulgaria,BGR,2017,59170671046.4798
Bulgaria,BGR,2016,53932152153.5457
Bulgaria,BGR,2015,50768512172.9373
Burkina Faso,BFA,2024,23136514855.7646
Burkina Faso,BFA,2023,20106062971.6533
Burkina Faso,BFA,2022,18622421394.6133
Burkina Faso,BFA,2021,19697516284.3787
Burkina Faso,BFA,2020,17725010532.5268
Burkina Faso,BFA,2019,16032813503.3707
Burkina Faso,BFA,2018,15890066221.2882
Burkina Faso,BFA,2017,14106955615.3442
Burkina Faso,BFA,2016,12833363045.3367
Burkina Faso,BFA,2015,11832159315.6298
Burundi,BDI,2024,3037579858.38142
Burundi,BDI,2023,3419558408.35408
Burundi,BDI,2022,4020736756.64256
Burundi,BDI,2021,3425127990.70519
Burundi,BDI,2020,3188355943.63513
Burundi,BDI,2019,2871555326.31029
Burundi,BDI,2018,2913411408.44783
Burundi,BDI,2017,2831362208.34039
Burundi,BDI,2016,2618093125.14687
Burundi,BDI,2015,2810532912.49975
Cabo Verde,CPV,2024,2713721857.39153
Cabo Verde,CPV,2023,2504525537.51069
Cabo Verde,CPV,2022,2247003344.34242
Cabo Verde,CPV,2021,2051842618.70539
Cabo Verde,CPV,2020,1821565613.68613
Cabo Verde,CPV,2019,2252177124.32402
Cabo Verde,CPV,2018,2205099506.99994
Cabo Verde,CPV,2017,1996741539.95088
Cabo Verde,CPV,2016,1849789985.99572
Cabo Verde,CPV,2015,1749857620.35329
Cambodia,KHM,2024,46352647037.2406
Cambodia,KHM,2023,42335646895.7984
Cambodia,KHM,2022,39994532959.6074
Cambodia,KHM,2021,36790163687.4421
Cambodia,KHM,2020,34818073901.4851
Cambodia,KHM,2019,36685356407.7206
Cambodia,KHM,2018,33145892168.8958
Cambodia,KHM,2017,29355665909.7905
Cambodia,KHM,2016,26556545153.3573
Cambodia,KHM,2015,24174170369.0738
Cameroon,CMR,2024,53296694320.2057
Cameroon,CMR,2023,48814501547.4313
Cameroon,CMR,2022,44347206072.5513
Cameroon,CMR,2021,45011937346.8384
Cameroon,CMR,2020,40773241177.0505
Cameroon,CMR,2019,39667757527.6578
Cameroon,CMR,2018,39955552189.795
Cameroon,CMR,2017,36098547033.1655
Cameroon,CMR,2016,33814337044.3765
Cameroon,CMR,2015,32210233020.4569
Canada,CAN,2024,2270076189683.46
Canada,CAN,2023,2196593836347.42
Canada,CAN,2022,2200562785046.32
Canada,CAN,2021,2022377950896.78
Canada,CAN,2020,1655686966881.99
Canada,CAN,2019,1743728952156.85
Canada,CAN,2018,1725330736237.69
Canada,CAN,2017,1649269496514.62
Canada,CAN,2016,1527996250640.92
Canada,CAN,2015,1556510380200.23
Cayman Islands,CYM,2024,7765336505.34319
Cayman Islands,CYM,2023,7308564549.28678
Cayman Islands,CYM,2022,6653516041.43929
Cayman Islands,CYM,2021,6060813808.15072
Cayman Islands,CYM,2020,5655357984.24218
Cayman Islands,CYM,2019,5941896607.58643
Cayman Islands,CYM,2018,5530178440.71376
Cayman Islands,CYM,2017,5166281305.12522
Cayman Islands,CYM,2016,4909322237.28895
Cayman Islands,CYM,2015,4708167232.66893
Central African Republic,CAF,2024,2751494281.06887
Central African Republic,CAF,2023,2555492085.94725
Central African Republic,CAF,2022,2382618615.01694
Central African Republic,CAF,2021,2516498412.46384
Central African Republic,CAF,2020,2326720900.38047
Central African Republic,CAF,2019,2221301351.43918
Central African Republic,CAF,2018,2220979146.11241
Central African Republic,CAF,2017,2072349972.6818
Central African Republic,CAF,2016,1825018144.65595
Central African Republic,CAF,2015,1695825714.19282
Chad,TCD,2024,19906706689.7582
Chad,TCD,2023,18352937976.2179
Chad,TCD,2022,17828508289.6049
Chad,TCD,2021,16871937697.5854
Chad,TCD,2020,14932897821.2387
Chad,TCD,2019,14905517742.8454
Chad,TCD,2018,15327000248.8701
Chad,TCD,2017,13349041408.7152
Chad,TCD,2016,13026289835.7789
Chad,TCD,2015,14559599499.5011
Channel Islands,CHI,2024,
Channel Islands,CHI,2023,12507320838.3932
Channel Islands,CHI,2022,11308272505.183
Channel Islands,CHI,2021,11157540109.8939
Channel Islands,CHI,2020,9439810769.23077
Channel Islands,CHI,2019,10031864649.0819
Channel Islands,CHI,2018,10026394043.6136
Channel Islands,CHI,2017,9170044517.20264
Channel Islands,CHI,2016,9168857222.32574
Channel Islands,CHI,2015,10109273770.329
Chile,CHL,2024,329260633698.726
Chile,CHL,2023,335802745366.38
Chile,CHL,2022,301099244104.003
Chile,CHL,2021,315507493783.262
Chile,CHL,2020,254103710483.324
Chile,CHL,2019,278308438545.118
Chile,CHL,2018,295857562991.709
Chile,CHL,2017,276154259981.097
Chile,CHL,2016,249344863928.438
Chile,CHL,2015,242450355830.884
China,CHN,2024,18729668435848.0
China,CHN,2023,18270356654533.2
China,CHN,2022,18316765021690.2
China,CHN,2021,18201698719564.0
China,CHN,2020,14996414166715.1
China,CHN,2019,14560167101283.4
China,CHN,2018,14147765772963.8
China,CHN,2017,12537559062282.9
China,CHN,2016,11456024084962.0
China,CHN,2015,11280814787468.9
Colombia,COL,2024,420504033143.211
Colombia,COL,2023,366901643683.302
Colombia,COL,2022,345632492851.448
Colombia,COL,2021,318524633225.395
Colombia,COL,2020,270348342541.465
Colombia,COL,2019,323031701192.84
Colombia,COL,2018,334198218098.276
Colombia,COL,2017,311866875156.879
Colombia,COL,2016,282720100286.228
Colombia,COL,2015,293492370193.166
Comoros,COM,2024,1610082688.26617
Comoros,COM,2023,1465977684.31307
Comoros,COM,2022,1279542248.96288
Comoros,COM,2021,1299039312.22277
Comoros,COM,2020,1225039196.61091
Comoros,COM,2019,1195019531.9011
Comoros,COM,2018,1188797449.38584
Comoros,COM,2017,1077439756.59451
Comoros,COM,2016,1012835493.19325
Comoros,COM,2015,966029600.862227
"Congo, Dem. Rep.",COD,2024,75716176105.0704
"Congo, Dem. Rep.",COD,2023,69843655425.2929
"Congo, Dem. Rep.",COD,2022,70422346142.2023
"Congo, Dem. Rep.",COD,2021,59067289573.5102
"Congo, Dem. Rep.",COD,2020,46691989748.9186
"Congo, Dem. Rep.",COD,2019,46845900350.0332
"Congo, Dem. Rep.",COD,2018,46659954092.4862
"Congo, Dem. Rep.",COD,2017,37537521565.5308
"Congo, Dem. Rep.",COD,2016,38600224214.4728
"Congo, Dem. Rep.",COD,2015,40179574490.3032
"Congo, Rep.",COG,2024,15719986076.6464
"Congo, Rep.",COG,2023,15321055822.5167
"Congo, Rep.",COG,2022,15817030154.6941
"Congo, Rep.",COG,2021,14825690210.9157
"Congo, Rep.",COG,2020,11468687464.0046
"Congo, Rep.",COG,2019,13976637779.9763
"Congo, Rep.",COG,2018,14773900288.5135
"Congo, Rep.",COG,2017,11834473039.3645
"Congo, Rep.",COG,2016,10931328150.8478
"Congo, Rep.",COG,2015,12434793867.3568
Costa Rica,CRI,2024,96715644330.6612
Costa Rica,CRI,2023,87512637055.7736
Costa Rica,CRI,2022,71001226360.8008
Costa Rica,CRI,2021,65588938787.0243
Costa Rica,CRI,2020,62806591554.7345
Costa Rica,CRI,2019,64753504730.018
Costa Rica,CRI,2018,62567765946.2665
Costa Rica,CRI,2017,60516044660.7496
Costa Rica,CRI,2016,58847019587.626
Costa Rica,CRI,2015,56441920888.425
Cote d'Ivoire,CIV,2024,87113179149.284
Cote d'Ivoire,CIV,2023,80780312569.1646
Cote d'Ivoire,CIV,2022,70922824813.9102
Cote d'Ivoire,CIV,2021,72794636653.7793
Cote d'Ivoire,CIV,2020,63027852805.4204
Cote d'Ivoire,CIV,2019,60382894697.3557
Cote d'Ivoire,CIV,2018,58522477786.6889
Cote d'Ivoire,CIV,2017,52512343996.69
Cote d'Ivoire,CIV,2016,48407761036.8238
Cote d'Ivoire,CIV,2015,45815005169.2651
Croatia,HRV,2024,92981894167.9687
Croatia,HRV,2023,85621337533.3348
Croatia,HRV,2022,71196460236.6301
Croatia,HRV,2021,69002262504.9821
Croatia,HRV,2020,57959824238.1808
Croatia,HRV,2019,61467261345.012
Croatia,HRV,2018,61668280700.0968
Croatia,HRV,2017,56182225079.1072
Croatia,HRV,2016,52650804052.1394
Croatia,HRV,2015,50999271058.5849
Cuba,CUB,2024,
Cuba,CUB,2023,
Cuba,CUB,2022,
Cuba,CUB,2021,
Cuba,CUB,2020,107352000000.0
Cuba,CUB,2019,103427600000.0
Cuba,CUB,2018,100050036100.0
Cuba,CUB,2017,96850649700.0
Cuba,CUB,2016,91370407900.0
Cuba,CUB,2015,87132800000.0
Curacao,CUW,2024,3561178212.2905
Curacao,CUW,2023,3281419329.60894
Curacao,CUW,2022,3075180837.98883
Curacao,CUW,2021,2739594357.5419
Curacao,CUW,2020,2534327597.76536
Curacao,CUW,2019,3026124134.07821
Curacao,CUW,2018,3046364804.46927
Curacao,CUW,2017,3033433240.22346
Curacao,CUW,2016,3024690167.59777
Curacao,CUW,2015,3058779217.87709
Cyprus,CYP,2024,37634551820.7367
Cyprus,CYP,2023,35075440602.5202
Cyprus,CYP,2022,31218047043.8386
Cyprus,CYP,2021,30372637513.1352
Cyprus,CYP,2020,25555082266.6429
Cyprus,CYP,2019,26196660680.1176
Cyprus,CYP,2018,25754011492.2204
Cyprus,CYP,2017,22946583375.5506
Cyprus,CYP,2016,21046452117.3759
Cyprus,CYP,2015,19909269064.8473
Czechia,CZE,2024,347082562221.377
Czechia,CZE,2023,345059295659.911
Czechia,CZE,2022,301831228325.556
Czechia,CZE,2021,290972714482.313
Czechia,CZE,2020,251109660602.536
Czechia,CZE,2019,256794209028.77
Czechia,CZE,2018,251992360762.236
Czechia,CZE,2017,221563575696.217
Czechia,CZE,2016,198160659303.939
Czechia,CZE,2015,189107698561.919
Denmark,DNK,2024,424524722037.047
Denmark,DNK,2023,404651706117.557
Denmark,DNK,2022,400114306337.077
Denmark,DNK,2021,406110162088.054
Denmark,DNK,2020,355631021931.621
Denmark,DNK,2019,345401473012.615
Denmark,DNK,2018,355293374912.393
Denmark,DNK,2017,331610593961.988
Denmark,DNK,2016,312181849372.233
Denmark,DNK,2015,301758922337.637
Djibouti,DJI,2024,4152145939.98458
Djibouti,DJI,2023,3898447007.38798
Djibouti,DJI,2022,3562814908.76149
Djibouti,DJI,2021,3392796953.08939
Djibouti,DJI,2020,3144136196.6228
Djibouti,DJI,2019,3088851450.30694
Djibouti,DJI,2018,2913464658.08768
Djibouti,DJI,2017,2762581334.22612
Djibouti,DJI,2016,2604955228.70117
Djibouti,DJI,2015,2424391785.43897
Dominica,DMA,2024,688881481.481481
Dominica,DMA,2023,659311111.111111
Dominica,DMA,2022,623062962.962963
Dominica,DMA,2021,562911111.111111
Dominica,DMA,2020,528944444.444444
Dominica,DMA,2019,644259259.259259
Dominica,DMA,2018,628244444.444444
Dominica,DMA,2017,563355555.555555
Dominica,DMA,2016,612711111.111111
Dominica,DMA,2015,583177777.777778
Dominican Republic,DOM,2024,124282245638.568
Dominican Republic,DOM,2023,120456239153.739
Dominican Republic,DOM,2022,113478103598.499
Dominican Republic,DOM,2021,94850719516.7127
Dominican Republic,DOM,2020,78546672406.8291
Dominican Republic,DOM,2019,89146130744.723
Dominican Republic,DOM,2018,84994732049.3461
Dominican Republic,DOM,2017,79070274743.1658
Dominican Republic,DOM,2016,75552902635.7075
Dominican Republic,DOM,2015,70966782572.4386
Ecuador,ECU,2024,123802374000.0
Ecuador,ECU,2023,120792801000.0
Ecuador,ECU,2022,116133121000.0
Ecuador,ECU,2021,107179074000.0
Ecuador,ECU,2020,95865473000.0
Ecuador,ECU,2019,107595830000.0
Ecuador,ECU,2018,107478961000.0
Ecuador,ECU,2017,104467486000.0
Ecuador,ECU,2016,97671433000.0
Ecuador,ECU,2015,97209558000.0
"Egypt, Arab Rep.",EGY,2024,389059910593.1
"Egypt, Arab Rep.",EGY,2023,395926071447.591
"Egypt, Arab Rep.",EGY,2022,476747720364.742
"Egypt, Arab Rep.",EGY,2021,424671765455.704
"Egypt, Arab Rep.",EGY,2020,383817841547.099
"Egypt, Arab Rep.",EGY,2019,318678815489.749
"Egypt, Arab Rep.",EGY,2018,262588632526.73
"Egypt, Arab Rep.",EGY,2017,248362771739.13
"Egypt, Arab Rep.",EGY,2016,332441717791.411
"Egypt, Arab Rep.",EGY,2015,329366576819.407
El Salvador,SLV,2024,34879730000.0
El Salvador,SLV,2023,33565430000.0
El Salvador,SLV,2022,31870110000.0
El Salvador,SLV,2021,29043140000.0
El Salvador,SLV,2020,24921190000.0
El Salvador,SLV,2019,26881140000.0
El Salvador,SLV,2018,26020850000.0
El Salvador,SLV,2017,24979190000.0
El Salvador,SLV,2016,24191430000.0
El Salvador,SLV,2015,23438240000.0
Equatorial Guinea,GNQ,2024,13254388261.1258
Equatorial Guinea,GNQ,2023,12541814272.8021
Equatorial Guinea,GNQ,2022,13687643435.6249
Equatorial Guinea,GNQ,2021,12215878032.7166
Equatorial Guinea,GNQ,2020,9893816007.7398
Equatorial Guinea,GNQ,2019,11364133549.7478
Equatorial Guinea,GNQ,2018,13097012133.6159
Equatorial Guinea,GNQ,2017,12200913878.9827
Equatorial Guinea,GNQ,2016,11240808847.8878
Equatorial Guinea,GNQ,2015,13185496881.0174
Eritrea,ERI,2024,
Eritrea,ERI,2023,
Eritrea,ERI,2022,
Eritrea,ERI,2021,
Eritrea,ERI,2020,
Eritrea,ERI,2019,
Eritrea,ERI,2018,
Eritrea,ERI,2017,
Eritrea,ERI,2016,
Eritrea,ERI,2015,
Estonia,EST,2024,43130419829.35
Estonia,EST,2023,41470344395.1086
Estonia,EST,2022,38226641740.29
Estonia,EST,2021,37201101170.5847
Estonia,EST,2020,31820771493.8974
Estonia,EST,2019,31873748770.0313
Estonia,EST,2018,31222632740.7247
Estonia,EST,2017,27469461919.1189
Estonia,EST,2016,24561027787.7896
Estonia,EST,2015,23311847750.9394
Eswatini,SWZ,2024,4858885840.77236
Eswatini,SWZ,2023,4621191261.84214
Eswatini,SWZ,2022,4746660273.50829
Eswatini,SWZ,2021,4807069277.20114
Eswatini,SWZ,2020,4134677809.50096
Eswatini,SWZ,2019,4617018958.69086
Eswatini,SWZ,2018,4643751059.28203
Eswatini,SWZ,2017,4462640651.49219
Eswatini,SWZ,2016,3722306116.72872
Eswatini,SWZ,2015,3908217914.21824
Ethiopia,ETH,2024,149740297952.375
Ethiopia,ETH,2023,135874093203.18
Ethiopia,ETH,2022,123140304665.399
Ethiopia,ETH,2021,109070960370.972
Ethiopia,ETH,2020,98676811061.9985
Ethiopia,ETH,2019,91834517113.6386
Ethiopia,ETH,2018,83337901071.9697
Ethiopia,ETH,2017,76366081766.6667
Ethiopia,ETH,2016,68475871209.607
Ethiopia,ETH,2015,62103418181.8182
Faroe Islands,FRO,2024,4052937169.76536
Faroe Islands,FRO,2023,3943131022.2291
Faroe Islands,FRO,2022,3615241800.50058
Faroe Islands,FRO,2021,3699551717.10561
Faroe Islands,FRO,2020,3271813311.5831
Faroe Islands,FRO,2019,3266432734.22819
Faroe Islands,FRO,2018,3188600927.46688
Faroe Islands,FRO,2017,2980057377.87967
Faroe Islands,FRO,2016,2813278868.78208
Faroe Islands,FRO,2015,2573905971.05459
Fiji,FJI,2024,5968125909.27126
Fiji,FJI,2023,5476673518.13788
Fiji,FJI,2022,4977861885.60316
Fiji,FJI,2021,4158873156.17978
Fiji,FJI,2020,4227719873.3865
Fiji,FJI,2019,5344907153.46698
Fiji,FJI,2018,5581425327.44397
Fiji,FJI,2017,5353469174.47838
Fiji,FJI,2016,4930213644.36653
Fiji,FJI,2015,4682479893.97558
Finland,FIN,2024,298729432711.719
Finland,FIN,2023,295191741637.26
Finland,FIN,2022,280253099309.34
